what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1263958708488
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1263958708488
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1263958708504
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1263958708504
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1263958708519
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1263958708519
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200908111817,"org.eclipse.wst.common.project.facet.core",1263958708519
started,bundle,org.eclipse.wst.web,1.1.301.v200909021400,"org.eclipse.wst.web",1263958708535
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1263958708535
os,sysinfo,,,"win32",1263958708551
arch,sysinfo,,,"x86",1263958708551
ws,sysinfo,,,"win32",1263958708551
locale,sysinfo,,,"en_US",1263958708551
processors,sysinfo,,,"2",1263958708551
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1263958708551
java.runtime.version,sysinfo,,,"1.5.0_15-b04",1263958708551
java.specification.name,sysinfo,,,"Java Platform API Specification",1263958708551
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263958708551
java.specification.version,sysinfo,,,"1.5",1263958708551
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1263958708551
java.version,sysinfo,,,"1.5.0_15",1263958708551
java.vm.info,sysinfo,,,"mixed mode, sharing",1263958708551
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1263958708551
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1263958708551
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1263958708551
